iter	Passed	Remaining
0	138	110573
1	140	56131
2	142	37963
3	145	28868
4	147	23417
5	149	19782
6	151	17181
7	154	15246
8	156	13750
9	158	12548
10	161	11559
11	163	10745
12	165	10042
13	168	9441
14	170	8918
15	172	8467
16	175	8064
17	177	7698
18	179	7388
19	182	7117
20	184	6859
21	187	6624
22	189	6414
23	192	6219
24	194	6041
25	197	5882
26	200	5731
27	202	5584
28	204	5448
29	207	5322
30	209	5206
31	212	5095
32	214	4994
33	217	4905
34	220	4821
35	223	4746
36	226	4675
37	229	4596
38	231	4520
39	234	4449
40	236	4382
41	239	4322
42	242	4264
43	244	4205
44	247	4148
45	249	4096
46	252	4045
47	255	3998
48	258	3954
49	261	3917
50	263	3875
51	266	3838
52	269	3796
53	272	3758
54	274	3722
55	277	3687
56	280	3653
57	282	3620
58	285	3586
59	288	3553
60	290	3521
61	293	3489
62	295	3460
63	298	3432
64	301	3405
65	304	3381
66	307	3361
67	310	3341
68	313	3316
69	316	3295
70	318	3272
71	321	3255
72	325	3238
73	328	3220
74	330	3198
75	333	3178
76	336	3157
77	338	3137
78	341	3117
79	344	3100
80	347	3081
81	349	3063
82	352	3045
83	355	3027
84	357	3010
85	360	2994
86	363	2977
87	366	2962
88	368	2946
89	371	2931
90	374	2916
91	377	2903
92	379	2887
93	382	2874
94	385	2861
95	388	2847
96	391	2835
97	394	2827
98	397	2817
99	401	2807
100	403	2795
101	406	2784
102	410	2776
103	413	2767
104	416	2754
105	418	2742
106	421	2730
107	424	2720
108	427	2708
109	430	2697
110	432	2687
111	435	2675
112	438	2666
113	441	2658
114	444	2648
115	447	2636
116	449	2626
117	452	2617
118	455	2607
119	458	2598
120	461	2588
121	463	2578
122	466	2569
123	469	2559
124	472	2549
125	473	2533
126	476	2523
127	478	2514
128	481	2506
129	484	2498
130	487	2490
131	490	2481
132	493	2473
133	496	2465
134	499	2458
135	501	2450
136	504	2443
137	508	2437
138	510	2428
139	513	2421
140	516	2412
141	519	2405
142	522	2400
143	525	2392
144	527	2384
145	530	2377
146	533	2371
147	536	2363
148	539	2357
149	542	2349
150	545	2343
151	548	2338
152	551	2330
153	553	2323
154	556	2316
155	559	2309
156	561	2301
157	564	2294
158	567	2287
159	570	2280
160	572	2273
161	575	2267
162	578	2260
163	581	2254
164	584	2248
165	586	2241
166	589	2234
167	592	2229
168	595	2222
169	598	2216
170	601	2211
171	604	2206
172	607	2201
173	610	2196
174	613	2189
175	615	2183
176	619	2180
177	622	2175
178	625	2168
179	627	2162
180	630	2156
181	633	2150
182	636	2144
183	641	2147
184	644	2141
185	646	2135
186	649	2130
187	652	2124
188	656	2120
189	658	2115
190	661	2109
191	665	2107
192	668	2101
193	670	2095
194	673	2090
195	676	2085
196	679	2080
197	682	2074
198	685	2070
199	688	2065
200	691	2060
201	694	2054
202	697	2051
203	701	2049
204	704	2044
205	707	2038
206	709	2033
207	712	2028
208	715	2024
209	717	2014
210	720	2010
211	723	2006
212	726	2001
213	729	1997
214	732	1992
215	735	1988
216	738	1982
217	740	1977
218	743	1973
219	746	1968
220	749	1963
221	752	1959
222	755	1954
223	758	1950
224	761	1946
225	764	1941
226	767	1937
227	770	1932
228	773	1927
229	776	1923
230	778	1917
231	781	1913
232	784	1908
233	787	1904
234	790	1901
235	793	1896
236	796	1892
237	799	1888
238	802	1883
239	805	1880
240	809	1878
241	813	1874
242	816	1870
243	819	1866
244	822	1862
245	824	1857
246	827	1852
247	830	1847
248	833	1843
249	835	1839
250	838	1834
251	841	1830
252	844	1826
253	847	1822
254	850	1818
255	853	1814
256	856	1810
257	859	1805
258	862	1801
259	865	1797
260	867	1792
261	870	1787
262	873	1783
263	876	1779
264	879	1775
265	882	1771
266	885	1767
267	888	1763
268	891	1759
269	894	1755
270	897	1751
271	900	1747
272	903	1743
273	906	1739
274	908	1735
275	911	1731
276	915	1728
277	918	1724
278	921	1719
279	924	1716
280	927	1713
281	930	1709
282	933	1705
283	936	1701
284	940	1699
285	943	1695
286	946	1692
287	949	1688
288	952	1683
289	955	1679
290	958	1675
291	960	1671
292	963	1667
293	966	1663
294	969	1659
295	972	1656
296	975	1652
297	978	1648
298	981	1644
299	984	1640
300	987	1636
301	990	1632
302	993	1630
303	997	1627
304	1000	1623
305	1003	1620
306	1006	1617
307	1009	1613
308	1013	1609
309	1016	1606
310	1019	1603
311	1022	1599
312	1025	1595
313	1028	1591
314	1031	1587
315	1034	1583
316	1037	1580
317	1040	1576
318	1043	1572
319	1045	1568
320	1047	1562
321	1050	1558
322	1052	1554
323	1056	1551
324	1059	1547
325	1061	1543
326	1062	1537
327	1065	1533
328	1068	1529
329	1070	1524
330	1073	1520
331	1075	1516
332	1079	1513
333	1082	1509
334	1085	1506
335	1088	1502
336	1091	1499
337	1094	1495
338	1097	1491
339	1100	1488
340	1102	1484
341	1105	1480
342	1108	1476
343	1111	1473
344	1113	1469
345	1116	1465
346	1119	1462
347	1123	1458
348	1125	1454
349	1128	1451
350	1131	1447
351	1135	1444
352	1137	1440
353	1140	1437
354	1143	1433
355	1146	1430
356	1149	1426
357	1151	1422
358	1154	1418
359	1158	1415
360	1160	1411
361	1163	1408
362	1166	1404
363	1169	1400
364	1172	1397
365	1175	1393
366	1178	1389
367	1180	1386
368	1182	1381
369	1185	1377
370	1187	1373
371	1190	1369
372	1193	1365
373	1195	1362
374	1198	1358
375	1201	1354
376	1203	1350
377	1206	1347
378	1209	1343
379	1212	1340
380	1215	1337
381	1218	1333
382	1221	1330
383	1225	1327
384	1228	1323
385	1231	1320
386	1234	1316
387	1236	1313
388	1239	1309
389	1242	1306
390	1245	1302
391	1248	1299
392	1251	1295
393	1253	1291
394	1256	1288
395	1258	1284
396	1261	1280
397	1263	1276
398	1266	1272
399	1268	1268
400	1271	1265
401	1273	1261
402	1276	1257
403	1278	1253
404	1280	1249
405	1283	1245
406	1285	1241
407	1287	1237
408	1290	1233
409	1292	1229
410	1294	1225
411	1297	1221
412	1299	1217
413	1302	1213
414	1304	1210
415	1306	1206
416	1309	1202
417	1311	1198
418	1314	1195
419	1316	1191
420	1318	1187
421	1321	1183
422	1323	1179
423	1325	1175
424	1327	1171
425	1330	1167
426	1332	1164
427	1334	1160
428	1337	1156
429	1339	1152
430	1341	1148
431	1344	1144
432	1346	1141
433	1348	1137
434	1350	1133
435	1352	1129
436	1355	1125
437	1357	1122
438	1359	1118
439	1362	1114
440	1364	1111
441	1367	1107
442	1369	1103
443	1371	1099
444	1373	1096
445	1376	1092
446	1378	1088
447	1381	1085
448	1383	1081
449	1385	1077
450	1388	1074
451	1390	1070
452	1392	1066
453	1395	1063
454	1397	1059
455	1399	1055
456	1401	1052
457	1404	1048
458	1406	1044
459	1409	1041
460	1411	1037
461	1413	1034
462	1416	1030
463	1418	1027
464	1420	1023
465	1422	1019
466	1425	1016
467	1427	1012
468	1429	1008
469	1432	1005
470	1434	1001
471	1436	998
